"id","source","coin","satoshis","wei","usdt","timestamp"
1,0,"BTC",100000000,,5226,1508340878.27475
2,0,"ETH",5687317,100000000,296.9999,1508340878.27475
3,0,"NXT",1201,,,1508340878.27475
4,0,"BTM",8394,,,1508340878.27475
5,0,"MAID",7169,,,1508340878.27475
6,0,"XRP",4159,,,1508340878.27475
7,0,"EXP",33000,,,1508340878.27475
8,0,"STRAT",58510,,,1508340878.27475
9,0,"VTC",29609,,,1508340878.27475
10,0,"DCR",497473,,,1508340878.27475
11,0,"NEOS",42544,,,1508340878.27475
12,0,"PPC",20727,,,1508340878.27475
13,0,"VIA",19842,,,1508340878.27475
14,0,"STEEM",19795,,,1508340878.27475
15,0,"BCY",4900,,,1508340878.27475
16,0,"SBD",18282,,,1508340878.27475
17,0,"GNO",1521065,,,1508340878.27475
18,0,"DOGE",19,,,1508340878.27475
19,0,"PINK",389,,,1508340878.27475
20,0,"RIC",750,,,1508340878.27475
21,0,"BLK",3159,,,1508340878.27475
22,0,"SYS",3489,,,1508340878.27475
23,0,"SJCX",8253,,,1508340878.27475
24,0,"HUC",1261,,,1508340878.27475
25,0,"LSK",91680,,,1508340878.27475
26,0,"CVC",5895,,,1508340878.27475
27,0,"RADS",67356,,,1508340878.27475
28,0,"SC",77,,,1508340878.27475
29,0,"FCT",305475,,,1508340878.27475
30,0,"ZRX",3999,,,1508340878.27475
31,0,"STR",685,,,1508340878.27475
32,0,"XBC",830240,,,1508340878.27475
33,0,"NOTE",697,,,1508340878.27475
34,0,"NXC",4458,,,1508340878.27475
35,0,"BCH",6041301,,,1508340878.27475
36,0,"XVC",4187,,,1508340878.27475
37,0,"GAME",35866,,,1508340878.27475
38,0,"ZEC",4179659,,,1508340878.27475
39,0,"XEM",4080,,,1508340878.27475
40,0,"XMR",1668000,,,1508340878.27475
41,0,"EMC2",1593,,,1508340878.27475
42,0,"REP",343918,,,1508340878.27475
43,0,"POT",1268,,,1508340878.27475
44,0,"NMC",20758,,,1508340878.27475
45,0,"FLDC",158,,,1508340878.27475
46,0,"BCN",25,,,1508340878.27475
47,0,"FLO",1224,,,1508340878.27475
48,0,"XPM",1950,,,1508340878.27475
49,0,"BELA",1813,,,1508340878.27475
50,0,"GAS",390957,,,1508340878.27475
51,0,"CLAM",72948,,,1508340878.27475
52,0,"OMG",147950,,,1508340878.27475
53,0,"LBC",3036,,,1508340878.27475
54,0,"PASC",4631,,,1508340878.27475
55,0,"GNT",3906,,,1508340878.27475
56,0,"OMNI",410052,,,1508340878.27475
57,0,"BURST",119,,,1508340878.27475
58,0,"VRC",5781,,,1508340878.27475
59,0,"GRC",600,,,1508340878.27475
60,0,"BTCD",1533000,,,1508340878.27475
61,0,"NAUT",1870,,,1508340878.27475
62,0,"ETC",208348,,,1508340878.27475
63,0,"BTS",1060,,,1508340878.27475
64,0,"DASH",5376332,,,1508340878.27475
65,0,"NAV",19651,,,1508340878.27475
66,0,"ARDR",4249,,,1508340878.27475
67,0,"LTC",1050903,,,1508340878.27475
68,0,"XCP",153092,,,1508340878.27475
69,0,"DGB",193,,,1508340878.27475
70,0,"AMP",2314,,,1508340878.27475
71,0,"BTC",100000000,,5241,1508340939.683
72,0,"ETH",5665172,100000000,298.59092584,1508340939.683
73,0,"NXT",1201,,,1508340939.683
74,0,"BTM",8394,,,1508340939.683
75,0,"MAID",7166,,,1508340939.683
76,0,"XRP",4170,,,1508340939.683
77,0,"EXP",33000,,,1508340939.683
78,0,"STRAT",58510,,,1508340939.683
79,0,"VTC",29472,,,1508340939.683
80,0,"DCR",497476,,,1508340939.683
81,0,"NEOS",42544,,,1508340939.683
82,0,"PPC",20727,,,1508340939.683
83,0,"VIA",19842,,,1508340939.683
84,0,"STEEM",19982,,,1508340939.683
85,0,"BCY",4900,,,1508340939.683
86,0,"SBD",18282,,,1508340939.683
87,0,"GNO",1521047,,,1508340939.683
88,0,"DOGE",19,,,1508340939.683
89,0,"PINK",383,,,1508340939.683
90,0,"RIC",750,,,1508340939.683
91,0,"BLK",3159,,,1508340939.683
92,0,"SYS",3489,,,1508340939.683
93,0,"SJCX",8253,,,1508340939.683
94,0,"HUC",1261,,,1508340939.683
95,0,"LSK",91680,,,1508340939.683
96,0,"CVC",5893,,,1508340939.683
97,0,"RADS",67356,,,1508340939.683
98,0,"SC",77,,,1508340939.683
99,0,"FCT",305477,,,1508340939.683
100,0,"ZRX",3999,,,1508340939.683
101,0,"STR",690,,,1508340939.683
102,0,"XBC",830240,,,1508340939.683
103,0,"NOTE",697,,,1508340939.683
104,0,"NXC",4498,,,1508340939.683
105,0,"BCH",6041301,,,1508340939.683
106,0,"XVC",4187,,,1508340939.683
107,0,"GAME",37000,,,1508340939.683
108,0,"ZEC",4179846,,,1508340939.683
109,0,"XEM",4080,,,1508340939.683
110,0,"XMR",1668000,,,1508340939.683
111,0,"EMC2",1605,,,1508340939.683
112,0,"REP",343918,,,1508340939.683
113,0,"POT",1286,,,1508340939.683
114,0,"NMC",20758,,,1508340939.683
115,0,"FLDC",158,,,1508340939.683
116,0,"BCN",25,,,1508340939.683
117,0,"FLO",1245,,,1508340939.683
118,0,"XPM",1950,,,1508340939.683
119,0,"BELA",1815,,,1508340939.683
120,0,"GAS",390957,,,1508340939.683
121,0,"CLAM",72912,,,1508340939.683
122,0,"OMG",147950,,,1508340939.683
123,0,"LBC",3036,,,1508340939.683
124,0,"PASC",4631,,,1508340939.683
125,0,"GNT",3906,,,1508340939.683
126,0,"OMNI",410052,,,1508340939.683
127,0,"BURST",119,,,1508340939.683
128,0,"VRC",5781,,,1508340939.683
129,0,"GRC",602,,,1508340939.683
130,0,"BTCD",1533000,,,1508340939.683
131,0,"NAUT",1870,,,1508340939.683
132,0,"ETC",208200,,,1508340939.683
133,0,"BTS",1056,,,1508340939.683
